bib_fmt,source,rights,source_bib_num,access_profile_code,imprint,htid,rights_date_used,ht_bib_key,author,rights_reason_code,pub_place,responsible_entity_code,digitization_agent_code,description,lccn,oclc_num,content_provider_code,collection_code,title
BK,IAU,pd,990070442720202771,google,"Dodd, Mead, 1926[1905-1906]",iau.31858046675157,1905.0,102886859.0,"Peck, Harry Thurston, 1856-1914.",bib,nyu,uiowa,google,,,29746712,uiowa,IAU,"Twenty years of the republic, 1885-1905 / by Harry Thurston Peck."
BK,HVD,pd,990048127070203941,google,"D.C. Heath, 1900.",hvd.hwystt,1900.0,1067024.0,"Felkin, Henry M.",bib,mau,harvard,google,,04005475,3521954,harvard,HVD,An introduction to Herbart's science and practice of education / by Henry M. and Emmie Felkin ; with a preface by Oscar Browning.--
BK,COO,pd,5443120,open,"Houghton, Mifflin and company, 1906.",coo1.ark:/13960/t7qn6pt3j,1906.0,6514750.0,"Stickney, Albert, 1839-1908.",bib,nyu,cornell,cornell-ms,,06037188,3058038,cornell,COO,"Organized democracy, by Albert Stickney."
BK,MIU,pd,990003868120106381,google,1903.,mdp.39015026436330,1903.0,386812.0,"Binder, Rudolph M. 1865-1950.",bib,nyu,umich,google,,a  11000042,4536056,umich,MIU,Feeling as the principle of individuation and socialization.
BK,UC,pdus,"b124875166,GLAD17169377-B",google,"D. Appleton and Company, 1906.",uc1.$b301899,1906.0,6534617.0,"Herndon, William Henry, 1818-1891.",bib,nyu,universityofcalifornia,google,v. 1,,20385708,universityofcalifornia,NRLF,"Abraham Lincoln; the true story of a great life, by William H. Herndon and Jesse W. Weik, with an introduction by Horace White ..."
BK,LOC,pd,9150900,open,"The Neale publishing company, 1907.",loc.ark:/13960/t3902jv3f,1907.0,7950351.0,"Deering, John Richard, 1842-",bib,nyu,loc,ia,,07041770,2975995,loc,ILOC,"Lee and his cause: or, The why and the how of the war between the states by John R. Deering..."
BK,HVD,pdus,990063051380203941,google,"Harper & Brothers, 1901.",hvd.32044020430062,1901.0,331107.0,"Phelps, Edward John, 1822-1900.",bib,nyu,harvard,google,,01031913,"215308903,3692460",harvard,HVD,"Orations & essays of Edward John Phelps, diplomat and statesman; ed. by J.G. McCullough, with a memoir by John W. Stewart."
BK,UVA,pd,u1159220,google,"The Macmillan company, 1907.",uva.x002755709,1907.0,9777116.0,"Nietzsche, Friedrich Wilhelm, 1844-1900.",bib,nyu,virginia,google,,08000406,703547178,virginia,UVA,"Beyond good and evil,"
BK,WU,pd,4870117,google,"The S. J. Clarke publishing co., 1908.",wu.89067607556,1908.0,8618268.0,"Beauchamp, William Martin, 1830-1925.",bib,nyu,wisc,google,v.1,12024877,3151469,wisc,WU,"Past and present of Syracuse and Onondaga county, New York, from prehistoric times to the beginning of 1908, by the Rev. William M. Beauchamp.  Also biographical sketches of some prominent citizens of Syracuse and Onondaga county."
BK,UC,pd,b169549379,google,"Charles Scribner's Sons, 1927, c1908.",uc1.$b675385,1908.0,9980890.0,"Van Dyke, Henry, 1852-1933.",bib,nyu,universityofcalifornia,google,,,51963360,universityofcalifornia,NRLF,Out-of-doors in the Holy land : impressions of travel in body and spirit / by Henry Van Dyke.
BK,HVD,pd,990062814800203941,google,H. Altemus company [1902],hvd.32044086951621,1902.0,1473486.0,"Pemberton, Henry, 1826-1911.",bib,pau,harvard,google,,03003197//r84,3746812,harvard,HVD,"The path of evolution through ancient thought and modern science, by Henry Pemberton ..."
BK,HVD,pd,990071088580203941,google,"C. Scribner's Sons, 1901.",hvd.hnl31q,1901.0,6607636.0,"Mitchell, Donald Grant, 1822-1908.",bib,nyu,harvard,google,,,11847204,harvard,HVD,American lands and letters ... by Donald G. Mitchell.
BK,PST,pd,a324634,google,"F.H. Revell, c1909.",pst.000057671628,1909.0,12292471.0,"Sangster, Margaret Elizabeth Munson, 1838-1912.",bib,nyu,psu,google,25 72-156,,1703485,psu,PST,From my youth up : personal reminiscences / by Margaret E. Sangster.
BK,COO,pdus,1415067,open,"The Macmillan company; Macmillan & co., ltd., 1900.",coo1.ark:/13960/t3ws9796v,1900.0,100614065.0,"Harrison, Frederic, 1831-1923.",bib,nyu,cornell,cornell-ms,,00000496,5069721,cornell,COO,"Tennyson, Ruskin, Mill and other literary estimates, by Frederic Harrison ...."
BK,UIU,pd,8615216,google,"Scott-Thaw, 1904.",uiug.30112075972304,1904.0,102436343.0,"Bishop, Joseph Bucklin, 1847-1928.",bib,nyu,illinois,google,,40018625,427898869,illinois,UIUC,"Our political drama, conventions, campaigns, candidates / by Joseph Bucklin Bishop ; with numerous illustrations and reproductions from caricatures."
BK,INU,pd,811912,google,"D. Appleton, 1912, c1903.",inu.32000002790410,1903.0,5995063.0,"Linn, William Alexander, 1846-1917.",bib,nyu,iu,google,,,17437407,iu,INU,Horace Greeley : founder and editor of the New York Tribune / by William Alexander Linn.
BK,HVD,pd,990066838300203941,google,"s. n.], c1908.",hvd.32044015466022,1908.0,8652343.0,"Stonebraker, J. Clarence.",bib,xxu,harvard,google,,,9112804,harvard,HVD,"The unwritten South : cause, progress and result of the Civil War, relics of hidden truth after forty years / by J. Clarence Stonebraker."
BK,UIU,pd,96489,google,"D. Appleton, 1900.",uiug.30112023067389,1900.0,100629544.0,"Maudsley, Henry, 1835-1918.",bib,nyu,illinois,google,,,9146625,illinois,UIUC,Responsibility in mental disease / by Henry Maudsley.
BK,NYP,pd,b130691136,google,"Dodd, Mead, 1902.",nyp.33433076031701,1902.0,8655313.0,"Howe, M. A. De Wolfe 1864-1960.",bib,nyu,nypl,google,,,2629428,nypl,NYP,"American bookmen : sketches, chiefly biographical, of certain writers of the nineteenth century / by M. A. DeWolfe Howe."
BK,GEU,pd,990025084670302486,open,"W.H. Ferguson Co., 1902.",emu.10002335927,1901.0,101647882.0,"Washington, Booker T., 1856-1915.",bib,ohu,emory,geu,,,503462953,emory,GEU,The story of my life and work : an autobiography / Booker T. Washington ; introduction by J.L.M. Curry.
BK,NNC,pd,3277814,google,"Bureau of National literature and art, 1909.",nnc1.cu09365290,1909.0,8421185.0,United States. President.,bib,nyu,columbia,google,v.10,,9994098,columbia,NNC,"A compilation of the messages and papers of the president, 1789-1908 / by James D. Richardson."
BK,HVD,pdus,990060892760203941,google,"G. P. Putnam's sons, 1906.",hvd.hnvcvv,1906.0,1389002.0,"Morgan, C. Lloyd 1852-1936.",bib,nyu,harvard,google,,06042351,2747880,harvard,HVD,"The interpretation of nature,"
BK,NNC,pd,1236348,open,"Farrington Printing Co., [c1905].",nnc2.ark:/13960/t42r52p6p,1905.0,100461082.0,"Zandt, Ambrose.",bib,mau,columbia,ia,1905,,29281521,columbia,INNC,Lex helicis the story of creation / by Ambrose Zandt ; translated by M.
BK,COO,pd,1235721,open,Blakiston's 1904.,coo1.ark:/13960/t47p9j653,1904.0,1584348.0,"Barr, Martin W., 1860-1938.",bib,pau,cornell,cornell-ms,,04029206,2407857,cornell,COO,"Mental defectives; their history, treatment, and training, by Martin W. Barr ... Illustrated by 53 full page plates."
BK,NNC,pd,1429971,google,"New Church Board of Publication, 1903.",nnc1.cu04810163,1903.0,8419994.0,"Swedenborg, Emanuel, 1688-1772.",bib,nyu,columbia,google,v.1,,9655112,columbia,NNC,"The economy of the animal kingdom, considered anatomically, physically, and philosophically / by Emanuel Swedenborg ; translated from the Latin by the Rev. Augustus Clissold."
BK,MIU,pd,990003336600106381,google,"The Educational co., c1901.",mdp.39015026616097,1901.0,333660.0,"Everett, Marshall, 1863-1939.",bib,ilu,umich,google,,,66269770,umich,MIU,"The American hall of fame. Famous Americans, their portraits, biographies and thrilling experiences, by Marshall Everett [pseud.] ... Describing the most startling and important events in the history of the United States"
BK,MIU,pd,990015995000106381,google,"Dodd, Mead & company, 1904.",mdp.39015026262215,1904.0,1599500.0,"Singleton, Esther, 1865-1930",bib,nyu,umich,google,,04028400,1834977,umich,MIU,Famous women as described by famous writers;
SE,UC,pd,b16420040x,google,"The Academy, 1897-",uc1.b000301089,1906.0,541473.0,California Academy of Sciences,bib,cau,universityofcalifornia,google,v.3,17008549,2256741,universityofcalifornia,UCBK,"Proceedings of the California Academy of Sciences. 3d ser., Zoology."
BK,NJP,pd,9913273403506421,google,"D. McKay, Washington Square [c1900]",njp.32101074878719,1900.0,1027983.0,"Whitman, Walt, 1819-1892.",bib,pau,princeton,google,,43036792,1080273,princeton,NJP,"Leaves of grass, by Walt Whitman, including a fac-simile autobiography, variorum readings of the poems and a department of gathered leaves."
BK,NYP,pd,b133724396,google,"C. Scribner's Sons, 1908.",nyp.33433061706085,1908.0,8679364.0,"Taft, William H. 1857-1930.",bib,nyu,nypl,google,,,37789392,nypl,NYP,Four aspects of civic duty.
BK,COO,pd,4821018,google,"1914, c1909.",coo.31924030248474,1909.0,12204301.0,"Cooley, Charles Horton, 1864-1929.",bib,nyu,cornell,google,,,56094534,cornell,COO,Social organization; a study of the larger mind.
BK,NNC,pd,1096139,open,"V. A. Prosianichenko, [1907].",nnc2.ark:/13960/t6g176k1c,1907.0,100465378.0,"Chelpanov, Georgīĭ Ivanovich, 1862-1936.",bib,nyu,columbia,ia,1907,,29271446,columbia,INNC,Vvedenie v filosofii︠u︡
BK,HVD,pd,990033890250203941,google,"G.P. Putnamʾs Sons, 1907, c1905.",hvd.hwpleq,1907.0,100547042.0,"More, Paul Elmer, 1864-1937",bib,nyu,harvard,google,,,8325536,harvard,HVD,Shelburne essays. Second series / by Paul Elmer More.
BK,COO,pd,1727824,open,"C. Scribner's sons, 1901 [c1899]",coo.31924014602712,1901.0,9795464.0,"Windelband, W. 1848-1915.",bib,nyu,cornell,cornell,,,3617479,cornell,COO,"History of ancient philosophy, by Dr. W. Windelband... Authorized translation by Herbert Ernst Cushman ... From the 2d German ed."
BK,UIU,pd,2930251,google,"C. Scribner, 1906 [c1899]",uiug.30112064585885,1906.0,8720295.0,"Windelband, W. 1848-1915.",bib,nyu,illinois,google,,01023567,3617467,illinois,UIUC,"History of ancient philosophy, by Dr. W. Windelband. Authorized translation by Herbert Ernst Cushman."
BK,COO,pd,3650534,open,"The H.W. Wilson Company, 1904.",coo1.ark:/13960/t7jq1jm00,1904.0,454975.0,"Anderson, Frank Maloy, 1871-1961.",bib,mnu,cornell,cornell-ms,,04025396,1153528,cornell,COO,"The constitutions and other select documents illustrative of the history of France, 1789-1901, by Frank Maloy Anderson ..."
SE,HVD,pd,990020150390203941,google,American Medico-Psychological Association.,hvd.32044102972502,1900.0,100163692.0,American Medico-Psychological Association.,bib,nyu,harvard,google,1900,2011252234,"5087654,70904466",harvard,HVD,Proceedings of the American Medico-Psychological Association annual meeting.
BK,CMALG,pd,9928880570001551,open,"Doubleday, Page & Company, 1904.",gri.ark:/13960/t5s82p815,1904.0,361287.0,"Washington, Booker T., 1856-1915",bib,nyu,getty,ia,,04012107,422662,getty,GRI,"Working with the hands; being a sequel to ""Up from slavery,"" covering the author's experiences in industrial training at Tuskegee, by Booker T. Washington; illustrated from photographs by Frances Benjamin Johnston."
BK,WU,pd,4326180,google,"Houghton, Mifflin, c1911.",wu.89069257962,1911.0,8996927.0,"Dodge, Theodore Ayrault, 1842-1909.",bib,mau,wisc,google,,,2147971,wisc,WU,A bird's-eye view of our Civil War / by Theodore Ayrault Dodge.
BK,MIU,pd,990019622380106381,google,"The Macmillan company, 1919.",mdp.39015066075543,1919.0,1962238.0,"Taylor, Henry Osborn, 1856-1941.",bib,nyu,umich,google,,a 20000116,6076977,umich,MIU,"Prophets, poets, and philosophers of the ancient world. by Henry Osborn Taylor ..."
BK,COO,pd,2867434,open,"Little, Brown and company, 1918.",coo1.ark:/13960/t9f487d4x,1918.0,100768460.0,"Lombroso, Cesare, 1835-1909.",bib,mau,cornell,cornell-ms,,,1497472,cornell,COO,"Crime, its causes and remedies. Translated by Henry P. Horton. With an introd. by Maurice Parmelee."
BK,HVD,pd,990053512700203941,google,"[s.n.], 1915.",hvd.hn3luz,1915.0,12453956.0,"Elson, Henry W. 1857-1935.",bib,nyu,harvard,google,,,55749389,harvard,HVD,The story of the Old world / by Henry W. Elson and Cornelia E. MacMullan.
BK,HVD,pdus,990040167380203941,google,"D. Appleton and Co., 1916.",hvd.hn1rsn,1916.0,100484235.0,"Austin, Oscar P. 1848?-1933",bib,nyu,harvard,google,,16022758,236465922,harvard,HVD,Uncle Sam's secrets : a story of national affairs for the youth of the nation / by Oscar Phelps Austin.
BK,COO,pd,3789542,open,"Baker & Taylor, 1909-1913.",coo1.ark:/13960/t4qj80v9h,1913.0,202793.0,"Bigelow, John, 1817-1911.",bib,nyu,cornell,cornell-ms,v.2,09035935,4070452,cornell,COO,Retrospections of an active life / by John Bigelow.
BK,CHI,pd,1816559,google,"Chas, Scribner's sons, 1912.",chi.39387805,1912.0,101658696.0,"Mahan, A. T. 1840-1914",bib,nyu,uchicago,google,,,3391072,uchicago,CHI,The gulf and inland waters / by A. T. Mahan.
BK,HVD,pd,990068990070203941,google,"Longmans, Green and Co., 1919.",hvd.32044097050405,1919.0,100405016.0,"Woodburn, James Albert, 1856-1943",bib,nyu,harvard,google,,,223388984,harvard,HVD,The citizen and the republic : a text-book in government / by James Albert Woodburn and Thomas Francis Moran.
BK,COO,pd,4426091,open,"Ark publishing company, 1918.",coo1.ark:/13960/t4hm5t63q,1918.0,7667571.0,"Neumark, David, 1866-1924.",bib,ohu,cornell,cornell-ms,,18013124,856614,cornell,COO,"The philosophy of the Bible, by David Neumark."
BK,HVD,pd,990036375670203941,google,"G. P. Putnam's sons, 1914.",hvd.32044038394532,1914.0,1474296.0,"Lodge, Oliver, Sir, 1851-1940.",bib,nyu,harvard,google,,14002430,3252693,harvard,HVD,"Continuity; the presidential address to the British association for 1913,"
BK,CHI,pd,1626656,google,Houghton Mifflin Company [c1911],chi.088038118,1911.0,100862788.0,"Emerson, Ralph Waldo, 1803-1882",bib,mau,uchicago,google,,,30443058,uchicago,CHI,Poems and essays by Ralph Waldo Emerson. With introductions and notes.
BK,COO,pd,3619717,open,"Brentano's, 1914.",coo1.ark:/13960/t98632z48,1914.0,100769379.0,"Hall, Thornton, 1858-",bib,nyu,cornell,cornell-ms,,,8488170,cornell,COO,Enslavers of kings / by Thornton Hall.
BK,LOC,pd,8714342,open,"The Michie Company, printers, pref. 1915].",loc.ark:/13960/t5x63k57d,1915.0,6583197.0,,bib,vau,loc,ia,,17028676,2748100,loc,ILOC,Lectures and addresses on the Negro in the South.
BK,WU,pd,5443558,google,"C. Scribner's Sons, 1915.",wu.89077080828,1915.0,11725416.0,"Parkman, Francis, 1823-1893.",bib,nyu,wisc,google,v.1,,15479077,wisc,WU,The works of Francis Parkman.
BK,NYP,pd,b133720925,google,"Biographical press, 1917.",nyp.33433075966626,1917.0,8679331.0,"Moreland, Sinclair, 1885-",bib,txu,nypl,google,,,2643112,nypl,NYP,The Texas women's hall of fame [by] Sinclair Moreland.
BK,COO,pd,1712206,open,"Dodge Publishing Co., 1912.",coo1.ark:/13960/t79s2b879,1912.0,100764839.0,Omar Khayyam.,bib,nyu,cornell,cornell-ms,,,3518926,cornell,COO,The Rubāīyāt of Omar Khayyām / translated into English verse by Edward Fitzgerald ; with illustrations photographed from life studies by Adelaide Hanscom and Blanche Cumming.
BK,HVD,pd,990153165790203941,google,"Macmillan, 1911.",hvd.32044028905404,1911.0,6536816.0,"Colvin, Stephen S. 1869-1923.",bib,nyu,harvard,google,,11027778,1265704,harvard,HVD,"The learning process, by Stephen Sheldon Colvin."
BK,MIU,pd,990038672940106381,google,"Charles H. Kerr & Co., c1916.",mdp.39015078577874,1916.0,3867294.0,"Lafargue, Paul, 1842-1911.",bib,ilu,umich,google,,,18692829,umich,MIU,Social and philosophical studies / by Paul Lafargue.
BK,UVA,pd,u1156178,google,"P. Reilly, [1916]",uva.x001325713,1915.0,9777029.0,"Shallo, Michael W.",bib,pau,virginia,google,,16005056,8238578,virginia,UVA,"Lessons in scholastic philosophy,"
BK,HVD,pdus,990013391800203941,google,"Harvard University Press; William Heinemann, 1918",hvd.32044052758430,1918.0,7135270.0,"Boethius, d. 524",bib,mau,harvard,google,,,685471,harvard,HVD,"The theological tractates, with an English translation by H. F. Stewart ... and E. K. Rand ... The consolation of philosophy, with the English translation of ""I.T."" (1698) rev. by H. F. Stewart"
BK,NYP,pd,b126696706,google,1910],nyp.33433090330170,1910.0,100691992.0,"Vandercook, John, 1873-1908.",bib,ohu,nypl,google,1910,,35798981,nypl,NYP,"The complete revolution, [by] John Vandercook."
BK,COO,pd,1385295,open,"Houghton Mifflin Company, [c1916]",coo1.ark:/13960/t20c5j83p,1916.0,1280132.0,"Freeman, Frank N. 1880-1961",bib,mau,cornell,cornell-ms,,16010361,"192106,214647191",cornell,COO,The psychology of the common branches / by Frank Nugent Freeman.
BK,COO,pd,1687142,open,"Moffat, Yard and company, 1911.",coo1.ark:/13960/t3zs39g0c,1911.0,100764644.0,"Nordau, Max Simon, 1849-1923.",bib,nyu,cornell,cornell-ms,,11000601,1028057,cornell,COO,"The interpretation of history, by Max Nordau; translated from the German by H. A. Hamilton."
BK,HVD,pd,990063825120203941,google,"Little, Brown, & Co. , 1910 .",hvd.hn2f9p,1910.0,100494240.0,"Quincy, Josiah, 1802-1882.",bib,mau,harvard,google,,,6528285,harvard,HVD,Figures of the past from the leaves of old journals.
BK,NJP,pd,1585026,google,"Princeton University Press, 1916.",njp.32101075987139,1916.0,10249279.0,"Hall, Clifton Rumery, 1884-",bib,nju,princeton,google,,,739980,princeton,NJP,"Andrew Johnson, military governor of Tennessee / by Clifton R. Hall."
BK,GEU,pd,990016148480302486,open,"The American Negro Academy, 1914.",emu.10002361941,1914.0,339425.0,"Cromwell, John Wesley, 1846-1927.",bib,dcu,emory,geu,,14007742,697054,emory,GEU,The Negro in American history : men and women eminent in the evolution of the American of African descent / by John W. Cromwell.
BK,MIU,pd,990005807620106381,google,"Houghton Mifflin company, 1913.",mdp.39015011043877,1913.0,580762.0,"Münsterberg, Hugo, 1863-1916.",bib,mau,umich,google,,13002474,"14781037,760773",umich,MIU,"Psychology and industrial efficiency, by Hugo Münsterberg."
BK,COO,pd,4974195,open,"Little, Brown, 1911.",coo1.ark:/13960/t64468991,1911.0,6555836.0,"Gross, Hans, 1847-1915.",bib,mau,cornell,cornell-ms,,11001860,"14779519,2340086",cornell,COO,"Criminal psychology : a manual for judges, practitioners, and students / by Hans Gross ; translated from the 4th German edition by Horace M. Kallen ; with an introduction by Joseph Jastrow."
BK,UC,pd,"b12487292x,GLAD17169099-B",google,"The American issue publishing company, 1910.",uc1.$b282111,1910.0,6522919.0,"Jackson, John Collins, 1848-1909.",bib,ohu,universityofcalifornia,google,,19015341,3752199,universityofcalifornia,NRLF,Grant's strategy : and other addresses / by John Collins Jackson.
BK,UMN,pd,9918603940001701,google,"Longmans, Green, and co., 1910.",umn.31951000785572i,1910.0,100658045.0,"Woodburn, James Albert, 1856-1943.",bib,nyu,umn,google,,10015138,15294320,umn,UMN,Elementary American history and government.
BK,NJP,pd,9929126543506421,google,"Saint Dunstan Society, [1912?]",njp.32101076318102,1912.0,9029756.0,Omar Khayyam.,bib,nyu,princeton,google,,,18545271,princeton,NJP,Omar Khayyam : a reprint of the rare first edition of the translation of Edward FitzGerald.
BK,COO,pd,1484378,open,The John C. Winston co. [c1913],coo1.ark:/13960/t08w3zq0c,1913.0,7077225.0,"Abbot, Willis J. 1863-1934.",bib,pau,cornell,cornell-ms,,13010918,"6599760,6743656",cornell,COO,"Notable women in history; the lives of women who in all ages, all lands and in all womanly occupations have won fame and put their imprint on the world's history, by Willis J. Abbot ...."
BK,COO,pd,5404417,open,"Little, Brown, and Company, 1915.",coo1.ark:/13960/t75t46h65,1915.0,619170.0,"Putnam, James Jackson, 1846-1918.",bib,mau,cornell,cornell-ms,,15012120,"1398116,6940889",cornell,COO,"Human motives, by James Jackson Putnam ..."
BK,HVD,pd,990033207870203941,google,"American book company, 1916.",hvd.32044097049910,1916.0,100397667.0,"Garner, James Wilford, 1871-1938.",bib,nyu,harvard,google,,,26905579,harvard,HVD,"Government in the United States, national, state, and local / by James W. Garner."
BK,NNC,pd,1517959,open,"Small, 1912 [c1903]",nnc2.ark:/13960/t56d7dx4t,1912.0,100464618.0,"Scott, Walter Dill, 1869-1955.",bib,mau,columbia,ia,1912,,30472241,columbia,INNC,"The theory and practice of advertising a simple exposition of the principles of psychology in their relation to successful advertising, by Walter Dill Scott."
BK,UC,pd,4109752,open,"Open Court, 1915 [c1894]",uc2.ark:/13960/t6251k64t,1915.0,102486111.0,"Ribot, Th. 1839-1916.",bib,ilu,universityofcalifornia,ia,,,,universityofcalifornia,ISRLF,The diseases of the will. Authorised translation from the eighth French ed.
BK,MIU,pd,990017388430106381,google,"Apex book company, 1915.",mdp.39015034717010,1915.0,1738843.0,"Breitwieser, J. V., 1884-",bib,cou,umich,google,,15002807,15587960,umich,MIU,Psychological advertising [by] J. V. Breitwieser ...
BK,UIU,pd,2689026,google,1912.,uiug.30112049882100,1912.0,9018717.0,Library of the Surgeon-General's Office (U.S.),bib,dcu,illinois,google,,12029919,4618319,illinois,UIUC,"Texts illustrating the history of medicine in the Library of the Surgeon General's Office, U. S. Army; arranged in chronological order."
BK,LOC,pd,9656215,open,The Psychological society [c1919],loc.ark:/13960/t0vq44d0b,1919.0,100138016.0,"Brown, George, of Dallas. [from old catalog]",bib,txu,loc,ia,,20000453,,loc,ILOC,"Occult psychology,"
BK,HVD,pd,990034979580203941,google,"Macmillan Co., 1919.",hvd.32044097025159,1919.0,1987131.0,"Trafton, Gilbert H. 1874-",bib,nyu,harvard,google,,19015854,"602681,6158292",harvard,HVD,Science of home and community : a text-book in general science / by Gilbert H. Trafton.
